Name,Age,GPA,Credits Completed,Year,Pathway
Max Smith,18,2.2,41,Sophomore,Engineering
Alexis Anderson,16,3.03,48,Sophomore,Early Childhood Education
Aiden Davis,16,2.03,23,Sophomore,Biomed
Bella Moore,18,3.85,60,Sophomore,Engineering
Noah Smith,18,2.89,17,Victory Lap,Early College
Noah Miller,16,2.23,35,Freshman,Marketing
Alexis Miller,19,2.61,35,Freshman,Culinary
Bella DeFreitas,18,1.92,60,Senior,Criminsl Justice
Danielle Garcia,14,1.89,51,Senior,Early College
Amelia DeFreitas,19,0.48,43,Junior,Early Childhood Education
Amelia Jones,15,3.26,12,Victory Lap,Construction
Alexis Manukyan,14,0.58,19,Junior,Early Childhood Education
Max Miller,18,2.93,49,Freshman,Early Childhood Education
Bella Anderson,19,3.7,36,Victory Lap,Criminsl Justice
Aiden DeFreitas,19,0.93,13,Junior,Computer Science
Lisa Wilson,15,2.8,16,Senior,Early College
Danielle Foster,18,2.59,8,Junior,Construction
Noah Foster,16,3.03,26,Sophomore,Computer Science
Joe Williams,15,3.31,56,Freshman,Computer Science
Noah Anderson,18,2.79,10,Freshman,Early College
Emma Williams,16,2.93,40,Junior,Engineering
Bella Williams,19,3.23,34,Sophomore,Criminsl Justice
Andrew Jones,14,2.98,34,Junior,Business
Bella Garcia,14,1.76,58,Senior,Early Childhood Education
Jack Davis,14,3.74,46,Senior,Business
Aiden Jones,14,4.14,32,Freshman,Early Childhood Education
Noah Davis,14,2.73,49,Senior,Criminsl Justice
Sarah Smith,15,2.55,33,Junior,Computer Science
Max Fogarty,14,3.99,35,Freshman,Biomed
Emma DeFreitas,17,2.07,39,Junior,Business
Kyan Manukyan,15,1.78,29,Victory Lap,Construction
Ben Brown,19,2.39,8,Victory Lap,Construction
Chloe Garcia,15,1.06,53,Junior,Construction
Amelia Brown,18,1.74,7,Victory Lap,Early Childhood Education
Danielle Miller,16,2.83,23,Victory Lap,Early College
Amelia Fogarty,16,2.24,51,Victory Lap,Criminsl Justice
Andrew Moore,14,1.82,8,Victory Lap,Culinary
Emma Manukyan,19,2.15,0,Freshman,Business
